eggmass,date,session,operator,device,time.sec,count,curly,notes
97,,4,Ally,Ruler,39,2,,
97,,4,Ally,Ruler,48,4,,
97,,4,Ally,Ruler,23,1,,
97,,4,Ally,Ruler,47,3,,
97,,4,Ally,Ruler,64,3,,
97,,4,Ally,Ruler,34,2,,
97,,4,Ally,Ruler,46,3,,
97,,4,Ally,Ruler,44,2,,
97,,4,Ally,Ruler,34,2,,
97,,4,Ally,Ruler,21,1,,
97,,4,Ally,Ruler,45,2,,
97,,4,Ally,Ruler,7,1,,
97,,4,Ally,Ruler,52,2,,
97,,4,Ally,Ruler,25,1,,
unknown,2/8/23,5,Ally,Ruler,138,18,,
unknown,2/8/23,5,Ally,Ruler,95,7,,
unknown,2/8/23,5,Ally,Ruler,121,7,yes,
unknown,2/8/23,5,Ally,Ruler,44,3,,
unknown,2/8/23,5,Ally,Ruler,79,4,,
unknown,2/8/23,5,Ally,Ruler,30,1,,
unknown,2/8/23,5,Ally,Ruler,35,2,,
unknown,2/8/23,5,Ally,Ruler,24,1,,
unknown,2/8/23,5,Ally,Ruler,22,2,,
unknown,2/8/23,5,Ally,Ruler,38,2,,
unknown,2/15/23,6,Ally,Ruler,43,3,,
unknown,2/15/23,6,Ally,Ruler,160,8,,
unknown,2/15/23,6,Ally,Ruler,123,7,,
unknown,2/15/23,6,Ally,Ruler,72,6,,
unknown,2/15/23,6,Ally,Ruler,74,6,,
unknown,2/15/23,6,Ally,Ruler,190,14,,
unknown,2/15/23,6,Ally,Ruler,371,30,,
unknown,2/15/23,6,Ally,Ruler,235,21,,
unknown,2/15/23,6,Ally,Ruler,73,8,,
unknown,2/15/23,6,Ally,Ruler,48,5,,
unknown,2/15/23,6,Ally,Ruler,198,18,,
unknown,2/15/23,6,Ally,Ruler,59,6,,
unknown,2/15/23,6,Ally,Ruler,56,4,,
unknown,2/15/23,6,Ally,Ruler,61,8,,
unknown,2/15/23,6,Ally,Ruler,205,17,,
unknown,2/15/23,6,Ally,Ruler,32,3,,
unknown,2/15/23,6,Ally,Ruler,66,4,,
unknown,2/15/23,6,Ally,Ruler,35,2,,
unknown,2/15/23,6,Ally,Ruler,46,3,,
unknown,2/15/23,6,Ally,Ruler,52,5,,
unknown,2/15/23,6,Ally,Ruler,36,2,,
unknown,2/15/23,6,Ally,Ruler,105,9,,
unknown,2/15/23,6,Ally,Ruler,37,3,,
15,2/15/23,6,Ally,Ruler,54,6,,
15,2/15/23,6,Ally,Ruler,37,4,,
15,2/15/23,6,Ally,Ruler,194,21,,
15,2/15/23,6,Ally,Ruler,17,1,,
15,2/15/23,6,Ally,Ruler,15,1,,
15,2/15/23,6,Ally,Ruler,92,11,,
15,2/15/23,6,Ally,Ruler,141,15,,
15,2/15/23,6,Ally,Ruler,68,6,,
15,2/15/23,6,Ally,Ruler,45,3,,
15,2/15/23,6,Ally,Ruler,127,15,,
15,2/15/23,6,Ally,Ruler,110,14,,
15,2/15/23,6,Ally,Ruler,21,3,,
12,2/8/23,5,Jack,Ruler,105,17,,
12,2/8/23,5,Jack,Ruler,70,9,,
12,2/8/23,5,Jack,Ruler,92,17,,
12,2/8/23,5,Jack,Ruler,103,18,yes,
12,2/8/23,5,Jack,Ruler,38,7,,
12,2/8/23,5,Jack,Ruler,33,4,yes,
12,2/8/23,5,Jack,Ruler,66,12,,
12,2/8/23,5,Jack,Ruler,25,5,,
12,2/8/23,5,Jack,Ruler,40,6,,
